id;id_fantoir;numero;rep;nom_voie;code_postal;code_insee;nom_commune;code_insee_ancienne_commune;nom_ancienne_commune;x;y;lon;lat;alias;nom_ld;libelle_acheminement;nom_afnor;source_position;source_nom_voie
01019_0095_00078;01019_0095;78;;Rue du Pointey;01510;01019;Armix;;;900637.78;6531081.74;5.585862;45.849819;;;ARMIX;RUE DU POINTEY;inconnue;inconnue
01019_0030_00040;01019_0030;40;;Rue de l'Ecole;01510;01019;Armix;;;900570.21;6530989.75;5.584953;45.849011;;;ARMIX;RUE DE L ECOLE;inconnue;inconnue
01019_0102_00032;01019_0102;32;;Route de Premillieu;01510;01019;Armix;;;900572.71;6531041.39;5.585007;45.849475;;;ARMIX;ROUTE DE PREMILLIEU;inconnue;inconnue
01019_0102_00075;01019_0102;75;;Route de Premillieu;01510;01019;Armix;;;900530.83;6531054.35;5.584473;45.849604;;;ARMIX;ROUTE DE PREMILLIEU;inconnue;inconnue
01019_0005_00015;01019_0005;15;;Rue de Bellevue;01510;01019;Armix;;;900570.78;6530941.55;5.58494;45.848577;;;ARMIX;RUE DE BELLEVUE;inconnue;inconnue
01019_0005_00037;01019_0005;37;;Rue de Bellevue;01510;01019;Armix;;;900572.21;6530923.93;5.584951;45.848418;;;ARMIX;RUE DE BELLEVUE;inconnue;inconnue
01019_0005_00044;01019_0005;44;;Rue de Bellevue;01510;01019;Armix;;;900564.35;6530910.34;5.584844;45.848298;;;ARMIX;RUE DE BELLEVUE;inconnue;inconnue
01019_0080_00029;01019_0080;29;;Rue des Jardins;01510;01019;Armix;;;900726.62;6531012.65;5.586977;45.849171;;;ARMIX;RUE DES JARDINS;inconnue;inconnue
01019_0065_00005;01019_0065;5;;Rue du Four;01510;01019;Armix;;;900689.73;6530986.66;5.586491;45.848948;;;ARMIX;RUE DU FOUR;inconnue;inconnue
01019_0065_00033;01019_0065;33;;Rue du Four;01510;01019;Armix;;;900678.37;6530975.63;5.58634;45.848852;;;ARMIX;RUE DU FOUR;inconnue;inconnue
01019_0055_00002;01019_0055;2;;Place de la Fontaine;01510;01019;Armix;;;900597.21;6531011.63;5.58531;45.8492;;;ARMIX;PLACE DE LA FONTAINE;inconnue;inconnue
01019_0045_00002;01019_0045;2;;Place de l'Eglise;01510;01019;Armix;;;900606.82;6531000.39;5.585429;45.849096;;;ARMIX;PLACE DE L EGLISE;inconnue;inconnue
01019_0045_00020;01019_0045;20;;Place de l'Eglise;01510;01019;Armix;;;900610.6;6530993.96;5.585475;45.849037;;;ARMIX;PLACE DE L EGLISE;inconnue;inconnue
01019_0045_00026;01019_0045;26;;Place de l'Eglise;01510;01019;Armix;;;900612.17;6530991.23;5.585494;45.849012;;;ARMIX;PLACE DE L EGLISE;inconnue;inconnue
01019_0045_00036;01019_0045;36;;Place de l'Eglise;01510;01019;Armix;;;900623.9;6530972.17;5.585637;45.848837;;;ARMIX;PLACE DE L EGLISE;inconnue;inconnue
01019_0045_00066;01019_0045;66;;Place de l'Eglise;01510;01019;Armix;;;900646.03;6530965.01;5.585919;45.848766;;;ARMIX;PLACE DE L EGLISE;inconnue;inconnue
01019_0040_00010;01019_0040;10;;Route d'Egieu;01510;01019;Armix;;;900749.13;6530996.17;5.58726;45.849016;;;ARMIX;ROUTE D EGIEU;inconnue;inconnue
01019_0040_00045;01019_0040;45;;Route d'Egieu;01510;01019;Armix;;;900766.92;6531026.75;5.587502;45.849286;;;ARMIX;ROUTE D EGIEU;inconnue;inconnue
01019_0040_00063;01019_0040;63;;Route d'Egieu;01510;01019;Armix;;;900778.04;6531035.78;5.587649;45.849364;;;ARMIX;ROUTE D EGIEU;inconnue;inconnue
01019_0040_00072;01019_0040;72;;Route d'Egieu;01510;01019;Armix;;;900787.42;6531033.76;5.587769;45.849343;;;ARMIX;ROUTE D EGIEU;inconnue;inconnue
01019_0040_00243;01019_0040;243;;Route d'Egieu;01510;01019;Armix;;;900930.71;6531113.23;5.589648;45.850016;;;ARMIX;ROUTE D EGIEU;inconnue;inconnue
