id_ban_position,id_ban_adresse,cle_interop,id_ban_group,id_fantoir,numero,suffixe,nom_voie,code_postal,nom_commune,code_insee,nom_complementaire,x,y,lon,lat,typ_loc,source,date_der_maj
ban-position-4b7dc5279c2744e6bb4bb74f29f56204,ban-housenumber-ab877598b43848dcb281b3ccaac3374f,40141_0040_113,ban-group-3a9636e8a9b146e6a7485ecee7a1e7e3,401410040,113,,ROUTE DE CASSIET,40250,Lahosse,40141,,393848.582758476,6297503.76508665,-0.799214,43.710265,parcel,dgfip,2018-10-20
ban-position-55501c02aa414b1593476d0660103be6,ban-housenumber-fc733c8316e3499a862d508bca85e56e,40135_0021_48,ban-group-f66783b9e17b44419822e34f58ed2b22,401350021,48,,Chemin des Plantons,40420,Labrit,40135,,416314.786481299,6340291.74383222,-0.544624,44.104314,segment,ign,2018-10-20
ban-position-8b3b0dcc7c7047e29a5d33132a82412b,ban-housenumber-4e2eda5bdca749aa81044a1b69a4395f,40296_0159_238_t,ban-group-49e4b5b4e1d74625b12422ad81c74a01,402960159,238,T,Chemin de Martichot,40510,Seignosse,40296,,348501.924627562,6297586.29393045,-1.360934,43.689932,segment,ign,2018-10-20
ban-position-b3420a92772a4440a05b55301ae8b387,ban-housenumber-0c4fd606805f45899ac10c7ffe3a758c,40245_0064_1388,ban-group-bbc89c155ab64abd8825f282dffe4a12,402450064,1388,,Rue de la Grande-lande,40120,Roquefort,40245,,435104.11623496603,6332524.287596299,-0.306076,44.041804,parcel,dgfip,2018-10-20
ban-position-d21a0bc206bc47f386ba5868c80c9667,ban-housenumber-263e081fd52d4cc8a0306a9bc4466a4e,40065_5995_2121,ban-group-4d47c3f8696a46069871ae31efafcbaf,400655995,2121,,PLACE DE L HOTEL DE VILLE,40130,Capbreton,40065,,342544.680768065,6292414.56456206,-1.431093,43.640485999999996,parcel,dgfip,2018-10-20
ban-position-4d736d06cb294d0c80fdd55f5a3bd374,ban-housenumber-f4019d4f97da423dbd91c51ef442e2bd,40279_0590_651_x,ban-group-5e4279f5102147edbeda2aad1c94c649,402790590,651,X,BOULEVARD SAINT VINCENT DE PAUL,40990,Saint-Paul-lès-Dax,40279,,374232.26682713104,6300357.34656972,-1.044044,43.727148,parcel,dgfip,2018-10-20
ban-position-1c9cc2efa15b4b24a3bcedf30a84b4fb,ban-housenumber-5a50466244944d75a7bb64cfbc3b78d8,40217_1224_113,ban-group-8862cdd86b8d4e75a83adb1e76380989,402171224,113,,CHEMIN DU PIAOU,40160,Parentis-en-Born,40217,,373432.479908631,6368765.46329485,-1.097988,44.341635,entrance,ign,2018-10-20
ban-position-8d375a8149f743218a7438b336118219,ban-housenumber-09aeeec2bb984f2c97d606e6719e7b36,40088_1805_7,ban-group-ca1b7fc0d1b84be3ab7780cae2fc9d1a,400881805,7,,Rue des Salines,40100,Dax,40088,,373328.12491977704,6297283.17479828,-1.053291,43.699104999999996,parcel,dgfip,2018-10-20
ban-position-bf72e587da294c20af35b1a204652726,ban-housenumber-6274afb1ce1241419f5544afd3687b37,40046_1662_128,ban-group-9b7ea0787b254b14899575137fffa7b8,400461662,128,,Rue des Tchicoys,40600,Biscarrosse,40046,,368577.17740731896,6375035.590513901,-1.1629479999999999,44.395714,parcel,dgfip,2018-10-20
ban-position-294ede7e78cb4a37a5dbb55427e7383c,ban-housenumber-5f65ee6a692b4354b63cb8cc187cedb1,40085_0370_75,ban-group-fdb9b3df11f04f86bb7224db9fbf7d4b,400850370,75,,Route de Sabres,40210,Commensacq,40085,,394484.23464389297,6353129.12568108,-0.8247479999999999,44.210568,parcel,dgfip,2018-10-20
